dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1827-10-01,26.476,1.579,Ahmadabad,India,23.31N,72.52E
1827-11-01,24.715999999999998,1.63,Ahmadabad,India,23.31N,72.52E
1827-12-01,20.099,3.027,Ahmadabad,India,23.31N,72.52E
1828-01-01,18.478,2.687,Ahmadabad,India,23.31N,72.52E
1828-02-01,21.087000000000003,2.285,Ahmadabad,India,23.31N,72.52E
1828-03-01,26.44,2.282,Ahmadabad,India,23.31N,72.52E
1828-04-01,30.378,2.139,Ahmadabad,India,23.31N,72.52E
1828-05-01,32.77800000000001,2.236,Ahmadabad,India,23.31N,72.52E
1828-06-01,32.429,2.147,Ahmadabad,India,23.31N,72.52E
1828-07-01,28.98,1.663,Ahmadabad,India,23.31N,72.52E
1828-08-01,27.035,1.743,Ahmadabad,India,23.31N,72.52E
